                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4971,                 4.8928,                 1.5739,                0.01202,                0.31302,                0.01667,                0.01122,                 1.1729,                 4.3414,                 1.2224,               5.67e-05,               5.67e-05,               5.67e-05
                      2,                 1.3535,                  3.971,                 1.4606,                 0.0596,                 0.1532,                0.03124,                0.02121,                  1.162,                 3.6146,                  1.174,             0.00011244,             0.00011244,             0.00011244
                      3,                 1.3125,                  3.465,                 1.4336,                0.05522,                0.24608,                0.06928,                0.05073,                  1.109,                 3.1112,                 1.1486,             0.00016527,             0.00016527,             0.00016527
                      4,                 1.2979,                 3.1899,                  1.396,                0.08224,                0.29543,                0.10425,                0.07346,                 1.0672,                 2.7943,                 1.1442,             0.00017497,             0.00017497,             0.00017497
                      5,                 1.2763,                 3.0073,                 1.3828,                0.12073,                0.35376,                0.13246,                0.09255,                 1.0684,                 2.6521,                 1.1086,             0.00017497,             0.00017497,             0.00017497
                      6,                 1.2599,                 2.8235,                 1.3636,                0.13773,                0.33342,                0.18525,                0.13348,                 1.0495,                 2.4427,                 1.0937,             0.00017029,             0.00017029,             0.00017029
                      7,                 1.2413,                 2.6984,                 1.3579,                0.17749,                0.38478,                0.22286,                0.15709,                 1.0507,                 2.4206,                 1.1303,             0.00016561,             0.00016561,             0.00016561
                      8,                  1.227,                 2.5839,                 1.3651,                0.21713,                0.43715,                0.25346,                0.18634,                 1.0384,                 2.2988,                 1.0953,             0.00016093,             0.00016093,             0.00016093
                      9,                 1.1908,                 2.3802,                 1.2999,                0.23274,                0.39758,                0.28884,                0.21914,                0.99591,                 2.1983,                 1.0616,             0.00015626,             0.00015626,             0.00015626
                     10,                 1.1538,                 2.2852,                 1.2837,                0.26886,                0.42109,                0.31985,                0.23839,                 1.0011,                  2.106,                 1.0748,             0.00015158,             0.00015158,             0.00015158
                     11,                 1.1642,                 2.2368,                 1.3052,                0.27397,                0.38013,                0.32811,                0.24285,                  1.031,                 2.1173,                 1.0836,              0.0001469,              0.0001469,              0.0001469
                     12,                 1.1171,                 2.0979,                 1.2712,                0.23555,                 0.4278,                0.32871,                0.24564,                  1.018,                 2.1395,                 1.0763,             0.00014222,             0.00014222,             0.00014222
                     13,                 1.1412,                 2.0092,                 1.2816,                0.32271,                0.40377,                0.36199,                0.26951,                  0.976,                 2.0271,                  1.046,             0.00013754,             0.00013754,             0.00013754
                     14,                 1.1038,                 1.9412,                 1.2551,                0.31503,                0.44041,                0.35761,                0.26758,                  1.021,                 2.0168,                 1.0767,             0.00013287,             0.00013287,             0.00013287
                     15,                 1.1043,                 1.8769,                 1.2567,                0.29517,                0.52787,                0.39929,                0.28986,                 1.0275,                 1.9922,                 1.0866,             0.00012819,             0.00012819,             0.00012819
                     16,                 1.1323,                 1.8357,                 1.2769,                0.33889,                0.48112,                0.43413,                0.32805,                0.99409,                 1.9183,                 1.0544,             0.00012351,             0.00012351,             0.00012351
                     17,                  1.072,                 1.7591,                 1.2409,                 0.3632,                0.50911,                0.45257,                0.34157,                 1.0108,                 1.8545,                  1.078,             0.00011883,             0.00011883,             0.00011883
                     18,                 1.0604,                 1.6798,                 1.2383,                0.31321,                0.50358,                 0.4422,                0.32766,                0.99097,                 1.8852,                 1.0667,             0.00011416,             0.00011416,             0.00011416
                     19,                  1.032,                  1.601,                 1.2208,                0.48368,                0.45112,                0.48014,                0.35139,                 1.0083,                 1.8423,                 1.0988,             0.00010948,             0.00010948,             0.00010948
                     20,                 1.0251,                 1.6027,                 1.2131,                0.41489,                0.55286,                 0.5035,                0.36639,                 0.9961,                 1.7714,                 1.0764,              0.0001048,              0.0001048,              0.0001048
                     21,                 1.0244,                 1.5454,                 1.2035,                0.41175,                0.54637,                0.47839,                0.35591,                0.99689,                 1.7614,                 1.0628,             0.00010012,             0.00010012,             0.00010012
                     22,                 1.0312,                 1.5204,                 1.2089,                0.43466,                0.51483,                0.46447,                0.33551,                  1.005,                  1.873,                  1.088,             9.5445e-05,             9.5445e-05,             9.5445e-05
                     23,                0.99184,                 1.4754,                 1.1987,                0.42709,                0.47546,                0.47688,                0.33777,                 1.0585,                 1.8154,                 1.1173,             9.0767e-05,             9.0767e-05,             9.0767e-05
                     24,                0.99027,                  1.404,                 1.1945,                0.49543,                0.43437,                0.47915,                0.35173,                 1.0173,                 1.8349,                 1.0847,              8.609e-05,              8.609e-05,              8.609e-05
                     25,                0.99788,                 1.4053,                 1.1879,                0.45568,                0.48829,                0.50714,                0.38668,                0.97661,                 1.7837,                  1.064,             8.1412e-05,             8.1412e-05,             8.1412e-05
                     26,                0.98648,                 1.3603,                  1.182,                0.41764,                0.53948,                0.50028,                0.36228,                 1.0473,                  1.808,                 1.1028,             7.6734e-05,             7.6734e-05,             7.6734e-05
                     27,                0.93587,                 1.3142,                 1.1619,                0.43944,                0.55624,                0.50849,                 0.3702,                 1.0057,                 1.7811,                 1.0861,             7.2056e-05,             7.2056e-05,             7.2056e-05
                     28,                  0.976,                 1.3212,                  1.188,                0.48105,                0.53585,                0.51384,                0.37398,                 1.0061,                 1.7856,                 1.0838,             6.7378e-05,             6.7378e-05,             6.7378e-05
                     29,                0.97633,                 1.3221,                 1.1663,                0.44268,                0.54094,                0.51356,                0.37999,                 1.0018,                 1.7788,                 1.0835,             6.2701e-05,             6.2701e-05,             6.2701e-05
                     30,                0.94621,                 1.2778,                 1.1627,                0.45751,                0.55021,                0.51487,                0.38392,                0.98655,                 1.7815,                 1.0773,             5.8023e-05,             5.8023e-05,             5.8023e-05
                     31,                0.94161,                 1.1283,                  1.177,                0.47324,                0.43488,                0.47941,                0.35904,                 0.9738,                 1.8758,                  1.062,             5.3345e-05,             5.3345e-05,             5.3345e-05
                     32,                0.90205,                 1.0488,                 1.1534,                0.49454,                 0.4585,                0.49552,                0.37139,                0.98409,                 1.8082,                 1.0782,             4.8668e-05,             4.8668e-05,             4.8668e-05
                     33,                0.87223,                0.99373,                 1.1428,                0.42037,                0.48668,                0.49288,                0.36781,                0.99502,                 1.8345,                 1.0858,              4.399e-05,              4.399e-05,              4.399e-05
                     34,                0.87644,                0.98761,                 1.1413,                0.47382,                0.44402,                0.47723,                0.35801,                0.99241,                 1.8222,                 1.0895,             3.9312e-05,             3.9312e-05,             3.9312e-05
                     35,                0.85625,                0.96822,                 1.1288,                 0.5132,                0.45987,                0.49453,                0.36507,                 1.0012,                 1.8087,                 1.0834,             3.4634e-05,             3.4634e-05,             3.4634e-05
                     36,                0.85407,                0.93547,                 1.1153,                0.43423,                 0.5389,                 0.5191,                0.38542,                0.98994,                 1.8039,                 1.0757,             2.9957e-05,             2.9957e-05,             2.9957e-05
                     37,                0.81269,                0.88109,                 1.0939,                0.42326,                0.56099,                 0.5233,                0.38492,                0.99277,                 1.7937,                 1.0824,             2.5279e-05,             2.5279e-05,             2.5279e-05
                     38,                0.81971,                0.87217,                 1.1027,                0.41278,                 0.5546,                0.52216,                0.38245,                 1.0069,                 1.7854,                 1.0864,             2.0601e-05,             2.0601e-05,             2.0601e-05
                     39,                0.81753,                0.86247,                  1.105,                0.44423,                0.57359,                0.52829,                0.38882,                0.98735,                 1.7718,                 1.0752,             1.5923e-05,             1.5923e-05,             1.5923e-05
                     40,                0.81065,                0.86285,                 1.0949,                0.42694,                0.54543,                0.53284,                0.39212,                 0.9906,                 1.7603,                 1.0804,             1.1246e-05,             1.1246e-05,             1.1246e-05
